,country,cosine_similarity
97,CHINA,0.8402998203280998
55,LITHUANIA,0.8690932186526541
93,ARMENIA,0.8899685295773038
29,LATVIA,0.8945470127970653
64,ESTONIA,0.9037150004109236
17,UZBEKISTAN,0.90958830849672
12,RUSSIAN FEDERATION,0.9104300197233911
11,SERBIA,0.9119324433457985
6,BULGARIA,0.912234799217863
7,CUBA,0.9123615566647134
10,JAPAN,0.9134788863360116
116,LUXEMBOURG,0.9145737975732904
67,NEPAL,0.9154927393400507
1,CROATIA,0.9224359094065786
47,ALGERIA,0.9229108732202023
35,SWITZERLAND,0.9260469946589387
20,MONTENEGRO,0.9281397656446446
43,MADAGASCAR,0.9296136266218269
22,OMAN,0.9302395323599094
3,SLOVAKIA,0.9303631697471175
31,BOSNIA AND HERZEGOVINA,0.9327353936768432
4,AUSTRIA,0.9333415275013672
119,CYPRUS,0.9339299949850007
73,KAZAKHSTAN,0.9349623593812566
100,SENEGAL,0.936022691943108
19,MAURITIUS,0.9360244545602284
49,DENMARK,0.9373315220329151
0,ZIMBABWE,0.9400312134695651
54,NEW ZEALAND,0.9409327569118819
78,"CONGO, DEMOCRATIC REPUBLIC OF THE",0.9422164097116335
110,NORTH MACEDONIA,0.9422890380887861
111,MONGOLIA,0.9454149148175959
53,"KOREA, REPUBLIC OF",0.9458799225210179
81,CZECHIA,0.9466107441375615
76,GERMANY,0.9467039665978357
5,BENIN,0.9491535414194242
13,SWEDEN,0.9491797005599983
103,BURUNDI,0.9514077440269908
86,FINLAND,0.95295757469009
21,ARGENTINA,0.9531827791128626
84,THAILAND,0.9534441464766044
41,GABON,0.9540783635711421
60,UGANDA,0.9541870811462331
117,GUYANA,0.955175463056203
24,POLAND,0.9560862786195905
45,BOTSWANA,0.9568976131850333
70,KENYA,0.9569052473379109
50,LEBANON,0.9570664084494316
66,CAMBODIA,0.9574119826476778
56,GUINEA,0.9576362244910844
69,NORWAY,0.9579090221445159
96,NIGERIA,0.9625414508631278
85,HOLY SEE,0.962963926182691
88,URUGUAY,0.9637212255435469
92,TUNISIA,0.9638445162126412
44,BELGIUM,0.9651278520990594
33,SINGAPORE,0.966975433929412
90,ETHIOPIA,0.9671253264618842
40,MOROCCO,0.9676068772158564
112,EGYPT,0.9677333225276605
52,AFGHANISTAN,0.9679462466329098
75,UKRAINE,0.9684756137408621
51,KUWAIT,0.9687458859536405
72,GUATEMALA,0.9690639694287955
80,"PALESTINE, STATE OF",0.9692334024838339
87,SUDAN,0.9694870793264496
63,CANADA,0.9699097203790955
57,SOUTH AFRICA,0.9701819389920678
28,IRELAND,0.9709585743199021
14,RWANDA,0.9709671776965538
118,BAHRAIN,0.9710649706263526
79,MALAYSIA,0.9711255175344743
65,FRANCE,0.9714159296482359
37,INDONESIA,0.9715453515156791
34,GREECE,0.973142419905926
27,SRI LANKA,0.9737614073709663
2,ISRAEL,0.973921425542471
101,PHILIPPINES,0.9743837825929617
114,PAKISTAN,0.9745311706738875
18,ICELAND,0.974827369814868
32,GHANA,0.9756564595772113
102,AUSTRALIA,0.976373639391974
42,ITALY,0.9768473932331864
36,ZAMBIA,0.977425039821723
108,NETHERLANDS,0.9777502323938501
83,BRUNEI DARUSSALAM,0.9779635794687255
109,"TANZANIA, UNITED REPUBLIC OF",0.9783004903527374
95,PANAMA,0.9783046927475088
16,SYRIAN ARAB REPUBLIC,0.9789403424732658
98,JAMAICA,0.9793060302029802
107,IRAQ,0.9795001433078656
48,YEMEN,0.9805162459090712
23,COSTA RICA,0.9812694914982126
59,TURKEY,0.9814463181938126
82,UNITED ARAB EMIRATES,0.9818503340909653
25,PORTUGAL,0.9829103107901656
30,PERU,0.983345897505429
68,INDIA,0.9833512195148378
74,QATAR,0.9834990587483098
58,UNITED STATES OF AMERICA,0.9835233844681659
71,MALTA,0.9835559809858556
46,CONGO,0.9838778737544727
77,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND,0.9843576976530259
8,ROMANIA,0.9844613310898406
104,CÃ”TE D'IVOIRE,0.9847135911128999
113,SLOVENIA,0.9847698008868192
39,COLOMBIA,0.984847500775053
115,MOZAMBIQUE,0.9850262040058034
89,JORDAN,0.9856234981725724
26,BRAZIL,0.9865926327618717
91,ECUADOR,0.98834612533207
106,BELARUS,0.9892750026582043
99,SAUDI ARABIA,0.9908103285500823
61,"BOLIVIA, PLURINATIONAL STATE OF",0.9915116714601452
15,ALBANIA,0.9924526230432605
94,CHILE,0.9949203514081247
105,PARAGUAY,0.9951241123129846
38,SPAIN,0.9961828584188794
9,NICARAGUA,0.9971289375162244
62,HONDURAS,0.997359023568142
