country,network,mahalanobis
MONGOLIA,RUS,480.40865873391976
SLOVAKIA,RUS,434.5486169675344
TURKEY,RUS,424.07068210261855
OMAN,RUS,423.0869202334475
UZBEKISTAN,RUS,403.2664961164895
PARAGUAY,RUS,380.7328859387999
JAMAICA,RUS,364.64812339168435
KAZAKHSTAN,RUS,333.1088614492665
"BOLIVIA, PLURINATIONAL STATE OF",RUS,329.4804450788515
HONDURAS,RUS,320.25334045140335
"KOREA, DEMOCRATIC PEOPLE'S REPUBLIC OF",RUS,296.1525823275599
CHINA,RUS,294.8855628697252
POLAND,RUS,293.46288045972267
UNITED STATES OF AMERICA,RUS,289.7376704076779
BELARUS,RUS,287.0418721692912
LATVIA,RUS,283.8784411909411
ARMENIA,RUS,265.83590567084616
INDONESIA,RUS,264.1660465518354
ROMANIA,RUS,260.1032554844729
UKRAINE,RUS,251.40055447443683
SYRIAN ARAB REPUBLIC,RUS,249.41719600616827
TURKMENISTAN,RUS,243.77075109059547
NEPAL,RUS,227.19337210591846
CROATIA,RUS,227.12386234113552
BULGARIA,RUS,225.5110243717636
THAILAND,RUS,222.84364328315996
AUSTRALIA,RUS,219.9152524161574
GABON,RUS,217.30867618607664
SOUTH AFRICA,RUS,217.10984233079128
CUBA,RUS,212.68112169891037
MALTA,RUS,212.14929937259456
SPAIN,RUS,209.42976420729337
INDIA,RUS,207.0462220600723
ALBANIA,RUS,205.27708380278625
SAUDI ARABIA,RUS,202.7975278422905
BRUNEI DARUSSALAM,RUS,199.8554523084971
JAPAN,RUS,199.2667672212055
ESTONIA,RUS,197.45907794016682
NETHERLANDS,RUS,197.29057795954196
LITHUANIA,RUS,195.43333726393803
CÃ”TE D'IVOIRE,RUS,193.6603002247382
"TANZANIA, UNITED REPUBLIC OF",RUS,190.80510654721792
PHILIPPINES,RUS,186.4651829528766
IRAQ,RUS,185.9692996867243
ITALY,RUS,184.07610860018065
MOROCCO,RUS,182.59149734591097
DENMARK,RUS,182.5810383886016
SEYCHELLES,RUS,180.40824385940505
MADAGASCAR,RUS,177.95332899694313
SERBIA,RUS,175.8326348501099
BOSNIA AND HERZEGOVINA,RUS,172.25071032713288
CANADA,RUS,170.3426577939657
ETHIOPIA,RUS,169.7048539548707
MONTENEGRO,RUS,169.5432464053589
"KOREA, REPUBLIC OF",RUS,166.1589956769896
EGYPT,RUS,165.81154418655137
ICELAND,RUS,160.8901279427705
ALGERIA,RUS,160.54088021354497
SLOVENIA,RUS,159.53658643669485
YEMEN,RUS,159.27491347998875
ECUADOR,RUS,156.86687720717305
ERITREA,RUS,153.20714417843737
PAKISTAN,RUS,153.1806343700506
NEW ZEALAND,RUS,151.73175895585322
MALAYSIA,RUS,151.64433851515776
KUWAIT,RUS,149.47143932672418
CAMBODIA,RUS,148.97559628370146
ZIMBABWE,RUS,146.3442866691219
SRI LANKA,RUS,146.29020362315748
QATAR,RUS,145.74355174825064
BURUNDI,RUS,144.81057945346902
GREECE,RUS,142.20362041126668
ISRAEL,RUS,141.60064832820592
SENEGAL,RUS,140.73095793135136
NORTH MACEDONIA,RUS,140.60286156978225
VIET NAM,RUS,140.22886790204342
GUINEA,RUS,135.61885833113058
UGANDA,RUS,135.228913800194
CYPRUS,RUS,134.36344141374417
CHILE,RUS,131.58289726979638
RWANDA,RUS,131.57700847272758
IRELAND,RUS,130.65988128593386
"IRAN, ISLAMIC REPUBLIC OF",RUS,130.14363881056656
SWEDEN,RUS,129.59276751581876
LUXEMBOURG,RUS,126.47688386030387
FINLAND,RUS,124.03222953708564
"CONGO, DEMOCRATIC REPUBLIC OF THE",RUS,123.0389993840488
BELGIUM,RUS,122.77896558714818
HOLY SEE,RUS,119.70146612338226
GERMANY,RUS,118.48781914536517
COSTA RICA,RUS,118.22534188335658
"PALESTINE, STATE OF",RUS,115.94309139898638
MOZAMBIQUE,RUS,114.74435257483196
BENIN,RUS,113.49365870180372
NIGERIA,RUS,112.06246138963466
TUNISIA,RUS,110.91977346691887
UNITED ARAB EMIRATES,RUS,110.66101144054278
URUGUAY,RUS,110.62405412661082
NORWAY,RUS,110.28118972029608
KENYA,RUS,110.2528764757065
PANAMA,RUS,108.40705548438035
GUYANA,RUS,105.03838598679114
CZECHIA,RUS,98.01921642556636
AFGHANISTAN,RUS,97.04147013918407
CONGO,RUS,95.67819670072777
BAHRAIN,RUS,94.36482600206375
UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND,RUS,94.16650199634833
SUDAN,RUS,92.78662623238927
GHANA,RUS,91.47010415336354
PORTUGAL,RUS,91.38876355894615
BRAZIL,RUS,90.44659726282592
COLOMBIA,RUS,81.16526854150737
MAURITIUS,RUS,72.41510653736745
SINGAPORE,RUS,70.7975487826821
LEBANON,RUS,66.12070299970719
HUNGARY,RUS,63.552352260075054
SWITZERLAND,RUS,58.820567347124836
FRANCE,RUS,56.964026731637205
"VENEZUELA, BOLIVARIAN REPUBLIC OF",RUS,56.180496038758974
ZAMBIA,RUS,56.02709008251463
GUINEA-BISSAU,RUS,55.64842024019504
GUATEMALA,RUS,23.719153020140425
JORDAN,RUS,17.88270964590194
AUSTRIA,RUS,14.747557590773113
RUSSIAN FEDERATION,RUS,13.697565753960248
MEXICO,RUS,-6.914069270977279
PERU,RUS,-65.6814847347157
NICARAGUA,RUS,-72.74779880897972
ARGENTINA,RUS,-73.62664920752104
BOTSWANA,RUS,-162.3566932972908
